beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,externeUrl,arbeitsort.plz,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,kundennummerHash
Servicefahrer/in,Servicehelfer ? (w/m/d) - Car-Support - Autovermietung,12518-M3IQLZ-24K-S,BUHL Personal GmbH - Niederlassung Lübeck,2026-03-01,2026-03-01T12:10:42.906,2026-03-01,https://www.hogapage.de/jobs/fahrer-in-l%C3%BCbeck/M3IQLZ-24K/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23554,Lübeck,null,Schleswig-Holstein,Deutschland,53.8892748,10.6794718,
Restaurantfachmann/-frau,Servicekraft ? (w/m/d) ? Events & Veranstaltungen,12518-6H9YZR-R79-S,BUHL Personal GmbH - Niederlassung Lübeck,2026-03-01,2026-03-01T12:10:42.839,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-l%C3%BCbeck/6H9YZR-R79/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23558,Lübeck,null,Schleswig-Holstein,Deutschland,53.8570481,10.657862,
Anlagenmechaniker/in,Elektromechaniker ? (w/m/d) - Technologieunternehmen,12518-PP2ECO-6NQ-S,BUHL Personal GmbH - Niederlassung Hamburg,2026-03-01,2026-03-01T12:10:36.307,2026-03-01,https://www.hogapage.de/jobs/mechaniker-in-wedel/PP2ECO-6NQ/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,22880,Wedel,null,Schleswig-Holstein,Deutschland,53.5907899,9.7076155,
Helfer/in - Gastgewerbe,Materialdisponent ? (w/m/d) - Technologieunternehmen,12518-TS2SU8-V76-S,BUHL Personal GmbH - Niederlassung Hamburg,2026-03-01,2026-03-01T12:10:36.247,2026-03-01,https://www.hogapage.de/jobs/produktionsmitarbeiter-in-wedel/TS2SU8-V76/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,22880,Wedel,null,Schleswig-Holstein,Deutschland,53.5907899,9.7076155,
Logistiker/in,Fachkraft für Lagerlogistik ? (w/m/d) - Technologieunternehmen,12518-T2YNPY-U1I-S,BUHL Personal GmbH - Niederlassung Hamburg,2026-03-01,2026-03-01T12:10:36.183,2026-03-01,https://www.hogapage.de/jobs/logistiker-in-wedel/T2YNPY-U1I/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,22880,Wedel,null,Schleswig-Holstein,Deutschland,53.5907899,9.7076155,
Helfer/in - Gastgewerbe,Facharbeiter Produktion ? Kleinheizer ? (w/m/d) - Technologieunternehmen,12518-PDVTIL-M9E-S,BUHL Personal GmbH - Niederlassung Hamburg,2026-03-01,2026-03-01T12:10:36.121,2026-03-01,https://www.hogapage.de/jobs/produktionsmitarbeiter-in-wedel/PDVTIL-M9E/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,22880,Wedel,null,Schleswig-Holstein,Deutschland,53.5907899,9.7076155,
Industriemechaniker/in,Industriemechaniker (m/w/d),12704-TWOEMN8R0Y6178YY-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:34:25.4,2026-03-01,,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.829015502,9.93880704,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Gabelstaplerfahrer/in,Gabelstaplerfahrer (m/w/d) ,12704-QPOZ2ICLEXSPB5V7-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:34:25.321,2026-03-01,,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.648429167,9.792865148,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Maschinen- und Anlagenführer/in (ohne Angabe des Schwerpunkts),Maschinen- und Anlagenführer (m/w/d) ,12704-LFBQJJGWDJB4KUAF-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:34:25.243,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Mechatroniker/in,Mechatroniker (m/w/d),12704-UMTY0003Y4VOE4U4-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:34:25.163,2026-03-01,,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.648429167,9.792865148,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
"Helfer/in - Kunststoff, Kautschuk",Produktionsmitarbeiter (m/w/d) ,12704-0P34N50M8AEXOLKB-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:34:25.082,2026-03-01,,25451,"Quickborn, Kreis Pinneberg",null,Schleswig-Holstein,Deutschland,53.735140277,9.903492144,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Helfer/in - Reinigung,Zuverlässige Reinigungshelferin/Reinigungshelfer gesucht,10001-1002684343-S,Marta Slupecka Alltagbetreuung und Reinigungsservice,2026-03-01,2026-03-01T11:21:33.529,2026-03-01,,25813,"Husum, Nordsee",null,Schleswig-Holstein,Deutschland,54.4909423,9.0482412,dacbugug-oyipkyRF0rOt7MojS-_nyB4-d20F-xtStg=
Buchhalter/in,Buchhalter (m/w/d),12479-N6AXR82QCJZYWPZX-S,Knoop Personal-Service GmbH,2026-03-01,2026-03-01T11:12:05.753,2026-03-01,,23611,Bad Schwartau,null,Schleswig-Holstein,Deutschland,53.921718935001,10.684016489,klX-Lfz4IAanYfWaLysqCAcirxdBO-J2g8uyNykFuBg=
Fachkraft - Lagerlogistik,Fachkraft Lagerlogistik (m/w/d) ,12704-04E24FJDZVPL0WIW-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:05:23.651,2026-03-01,,24558,Henstedt-Ulzburg,null,Schleswig-Holstein,Deutschland,53.786199526,10.008170536,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Mechatroniker/in,Mechatroniker (m/w/d),12704-FIQT4ZA8CHEOPQRX-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:05:23.456,2026-03-01,,25335,Elmshorn,null,Schleswig-Holstein,Deutschland,53.764704351,9.655935231,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Konstruktionsmechaniker/in,Konstruktionsmechaniker  (m/w/d) ,12704-DVJSJKWZKMB1JP35-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:05:23.237,2026-03-01,,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.648429167,9.792865148,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Koch/Köchin,Koch (m/w/d),12704-FP3PAM7TSQ4GSSKN-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:05:23.156,2026-03-01,,24791,Alt Duvenstedt,null,Schleswig-Holstein,Deutschland,54.357823578,9.621254365,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Maler/in und Lackierer/in - Maler/in,Maler und Lackierer (m/w/d) ,12704-1ELUCXS8MOVJ4SBN-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:05:22.892,2026-03-01,,22869,"Schenefeld, Bz Hamburg",null,Schleswig-Holstein,Deutschland,53.602074559,9.829768939,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
"Helfer/in - Papier, Verpackung",Produktionsmitarbeiter (m/w/d) ,12704-OHXQXKSCGPAT8XEQ-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:05:22.812,2026-03-01,,24558,Henstedt-Ulzburg,null,Schleswig-Holstein,Deutschland,53.786199526,10.008170536,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Helfer/in - Chemie- und Pharmatechnik,Produktionsmitarbeiter (m/w/d) ,12704-7RF9M5XKINXFKC85-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:03:45.139,2026-03-01,,25436,Uetersen,null,Schleswig-Holstein,Deutschland,53.687436809,9.67690185,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
WIG-Schweißer/in,Schweißer (m/w/d),12704-PWQUCNFI14SAAGSL-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:03:44.989,2026-03-01,,24558,Henstedt-Ulzburg,null,Schleswig-Holstein,Deutschland,53.786199526,10.008170536,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Elektroniker/in - Betriebstechnik,Schaltschrankbauer (m/w/d),12704-E1T5O05WYB2N88D8-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:03:44.822,2026-03-01,,25337,Elmshorn,null,Schleswig-Holstein,Deutschland,53.745278722,9.683936981,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Industrieelektriker/in - Geräte und Systeme,Schaltschrankverdrahter (m/w/d),12704-QCNLHNXL5W2L1JK2-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:03:44.562,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Helfer/in - Lebensmittelherstellung,Produktionsmitarbeiter - Lebensmittel (m/w/d) ,12704-X87JSM7Y93LVYQ8B-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:03:44.391,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
CNC-Dreher/in,CNC-Fräser (m/w/d),12704-7HQX8764COKGAJMS-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T11:03:44.298,2026-03-01,,25335,Elmshorn,null,Schleswig-Holstein,Deutschland,53.764704351,9.655935231,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Sozialpädagogische/r Assistent/in / Kinderpfleger/in,Sozialpädagogische*r Assistent*in,12618-133785-S,AWO Neue Welten gGmbH,2026-03-01,2026-03-01T10:46:41.551,2026-03-01,https://www.awo-jobs.de/index.php?id=114&uid=133785,22926,Ahrensburg,null,Schleswig-Holstein,Deutschland,53.6712518,10.2350504,
Sozialpädagogische/r Assistent/in / Kinderpfleger/in,Sozialpädagogische*r Assistent*in,12618-145585-S,AWO Neue Welten gGmbH,2026-03-01,2026-03-01T10:46:41.36,2026-03-01,https://www.awo-jobs.de/index.php?id=114&uid=145585,22941,Bargteheide,null,Schleswig-Holstein,Deutschland,53.7297294,10.2637802,
Sozialpädagogische/r Assistent/in / Kinderpfleger/in,Sozialpädagogische*r Assistent*in,12618-145586-S,AWO Neue Welten gGmbH,2026-03-01,2026-03-01T10:46:41.28,2026-03-01,https://www.awo-jobs.de/index.php?id=114&uid=145586,22941,Bargteheide,null,Schleswig-Holstein,Deutschland,53.7297294,10.2637802,
Speditionskaufmann/-frau,Speditionskaufmann Zoll (m/w/d) Luftfahrt ,17724-O9E0XNDOHLO0M7HY-S,hanfried Personaldienstleistungen GmbH,2026-03-01,2026-03-01T10:40:01.825,2026-03-01,,24558,Henstedt-Ulzburg,null,Schleswig-Holstein,Deutschland,53.786199526,10.008170536,NQT_VLGcKfPz8HbZOL86ljZ3fSCYQi10sNuyUDci9ZI=
Bankkaufmann/-frau,Baufinanzierungsberater (m/w/d),17594-k59444.2233-S,marschner consulting GbR,2026-03-01,2026-03-01T10:37:31.232,2026-04-01,,22946,Trittau,null,Schleswig-Holstein,Deutschland,53.612917310001,10.392829497,jjVRpTWVpd79qS0S9MVTuyk7owH4Usq88w1cgzdYzpM=
Versicherungskaufmann/-frau,Privatkundenberater (m/w/d),17594-k59444.2231-S,marschner consulting GbR,2026-03-01,2026-03-01T10:37:31.102,2026-04-01,,23909,Ratzeburg,null,Schleswig-Holstein,Deutschland,53.699705919001,10.766474039,jjVRpTWVpd79qS0S9MVTuyk7owH4Usq88w1cgzdYzpM=
Pflegefachmann/-frau (Altenpflege),Pflegefachkraft (m/w/d) stationär,15235-k43552.193254-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:34.127,2026-03-02,,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.648429167,9.792865148,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Pflegefachmann/-frau (Altenpflege),Pflegefachkraft (m/w/d) stationär,15235-k43552.193253-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:34.055,2026-03-02,,25335,Elmshorn,null,Schleswig-Holstein,Deutschland,53.764704351,9.655935231,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Pflegedienstleiter/in,Pflegedienstleitung (m/w/d) für familiäre Einrichtung,15235-k43552.193165-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:33.075,2026-03-02,,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Leiter/in - Altenpflegeeinrichtung,Einrichtungsleitung (m/w/d) für stationäre Einrichtung,15235-k43552.193080-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:32.766,2026-03-02,,25899,Niebüll,null,Schleswig-Holstein,Deutschland,54.798563574,8.803137379,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Pflegedienstleiter/in,Pflegedienstleitung für eine Einrichtung mit 80-Betten (m/w/d),15235-k43552.192953-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:30.656,2026-03-02,,23562,Lübeck,Hauptstraße 1,Schleswig-Holstein,Deutschland,53.833662,10.772316,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Pflegedienstleiter/in,Pflegedienstleitung ambulant gemeinnützige Träger (m/w/d),15235-k43552.192952-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:30.482,2026-03-02,,23562,Lübeck,Hauptstraße 1,Schleswig-Holstein,Deutschland,53.833662,10.772316,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Leiter/in - Altenpflegeeinrichtung,Einrichtungsleitung / Heimleitung einer modernen Einrichtung (m/w/d),15235-k43552.192951-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:30.313,2026-03-02,,24107,Kiel,Hauptstraße 1,Schleswig-Holstein,Deutschland,54.367641000001,10.0276875,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Leiter/in - Altenpflegeeinrichtung,Einrichtungsleitung (m/w/d) stationäre Einrichtung,15235-k43552.192892-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:29.099,2026-03-02,,24937,Flensburg,null,Schleswig-Holstein,Deutschland,54.786886154001,9.432385301,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Pflegedienstleiter/in,Pflegedienstleitung (m/w/d) für eine 50-Betten-Einrichtung,15235-k43552.192788-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:27.701,2026-03-02,,24837,Schleswig,null,Schleswig-Holstein,Deutschland,54.519331004,9.553257635,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Pflegedienstleiter/in,Pflegedienstleitung (m/w/d) für eine moderne Einrichtung,15235-k43552.192787-S,rocket match powered by notificAI GmbH,2026-03-01,2026-03-01T10:34:27.568,2026-03-02,,25704,Meldorf,null,Schleswig-Holstein,Deutschland,54.0974,9.0702,Bh9zhEmSvp6qI0Dab_8FL7rDOy3ZV4Nwcyz3JWAGzyQ=
Bankkaufmann/-frau,Berater (m/w/d) Corporate Finance,16651-k58298.4787-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:25.385,2026-03-02,,22926,Ahrensburg,null,Schleswig-Holstein,Deutschland,53.6712518,10.2350504,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Bankkaufmann/-frau,Spezialist (m/w/d) im Bauträgergeschäft,16651-k58298.4780-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:24.204,2026-03-02,,23843,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.814303659,10.373198414,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Weiterbildungsassistent/in (Arzt/Ärztin),Assistenzarzt Arbeitsmedizin (m/w/d) Heide,17914-k59760.9407-S,Trova Personal und Managementberatung,2026-03-01,2026-03-01T10:34:23.253,2026-04-01,,25746,"Heide, Holstein",Rungholtstraße 9,Schleswig-Holstein,Deutschland,54.208791,9.0985455,-cENzK-nbYx3q6vC30yrlD6PW9qCCMsTkWiBd0vfWYE=
Bankkaufmann/-frau,Geschäftskundenberater (m/w/d),16651-k58298.4774-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:23.042,2026-03-02,,22926,Ahrensburg,null,Schleswig-Holstein,Deutschland,53.671251843001,10.235050392,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Bankkaufmann/-frau,Privatkundenberater (m/w/d),16651-k58298.4775-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:22.768,2026-03-02,,23816,"Leezen, Holstein",null,Schleswig-Holstein,Deutschland,53.867273165,10.24363888,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Bankkaufmann/-frau,Privatkundenberater (m/w/d),16651-k58298.4777-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:22.355,2026-03-02,,23843,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.814303659,10.373198414,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Bankkaufmann/-frau,Real Estate Berater (m/w/d),16651-k58298.4778-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:22.079,2026-03-02,,23843,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.814303659,10.373198414,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Bankkaufmann/-frau,Firmenkundenberater (m/w/d) große Immobilienkunden,16651-k58298.4779-S,Banklyn GmbH,2026-03-01,2026-03-01T10:34:21.806,2026-03-02,,23843,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.814303659,10.373198414,MExb4xdLAdaSkWmA7zYrR_yhFup8i_dKFq0XD8HsSPk=
Konstrukteur/in,Entwicklungsingenieur (m/w/d) Konstruktion Militärfahrzeugtechnik,13999-k53401.29319-S,jobtimum GmbH defence,2026-03-01,2026-03-01T10:31:52.161,2026-03-02,,24107,Kiel,null,Schleswig-Holstein,Deutschland,54.355779852,10.078281043,T5leGxqlwQckjX3DCkp79o6vIGVT8XuMtT3Pb7cC3S8=
Datenbankadministrator/in,System Engineer Citrix & Database (m/w/d) - Uetersen,17338-d8308ee64ed9312dc2-S,Nordmark Pharma GmbH,2026-03-01,2026-03-01T10:31:50.118,2026-03-01,https://germantechjobs.de/jobs/Nordmark-Pharma-GmbH-System-Engineer-Citrix--Database-mwd---Uetersen?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int,25436,Uetersen,Pinnauallee,Schleswig-Holstein,Deutschland,53.6789169,9.6767564,
IT-Systemadministrator/in,IT-Systemadministrator (m/w/d) – Schwerpunkt Applications,17338-0a05b4e4441c1038e9-S,sebamed,2026-03-01,2026-03-01T10:31:44.225,2026-03-01,https://germantechjobs.de/jobs/sebamed-IT-Systemadministrator-mwd--Schwerpunkt-Applications?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int,22850,Norderstedt,Via Asilo 1,Schleswig-Holstein,Deutschland,53.6901314,9.9977419,
Softwareentwickler/in,Softwareentwickler C++ (m/w/d) - Kiel,17338-963c8075c6fec4ec88-S,FERCHAU – Connecting People and Technologies,2026-03-01,2026-03-01T10:31:39.325,2026-03-01,https://germantechjobs.de/jobs/FERCHAU--Connecting-People-and-Technologies-Softwareentwickler-C-mwd---Kiel?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int,24118,Kiel,Neufeldtstraße 6,Schleswig-Holstein,Deutschland,54.343638,10.122786,
IT-Berater/in,Technology and Business Architect (m/w/d) - Norderstedt,17338-fc6baaf7d077f1faf9-S,Jungheinrich Aktiengesellschaft,2026-03-01,2026-03-01T10:31:39.047,2026-03-01,https://germantechjobs.de/jobs/Jungheinrich-Aktiengesellschaft-Technology-and-Business-Architect-mwd---Norderstedt?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int,22844,Norderstedt,Lawaetzstraße 9-13,Schleswig-Holstein,Deutschland,53.727768,9.9868275,
IT-Systemadministrator/in,Systems Engineer (m/w/d),17338-a523c0a71fa98480ce-S,FERCHAU – Connecting People and Technologies,2026-03-01,2026-03-01T10:31:38.392,2026-03-01,https://germantechjobs.de/jobs/FERCHAU--Connecting-People-and-Technologies-Systems-Engineer-mwd?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int,24118,Kiel,Neufeldtstraße 6,Schleswig-Holstein,Deutschland,54.343638,10.122786,
Fachkraft - Lebensmitteltechnik,Fachkraft - Lebensmitteltechnik (m/w/d),12704-0FT7QWGWD3YJ1UYW-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T10:02:47.049,2026-03-01,,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.829015502,9.93880704,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Industriemechaniker/in,Mitarbeiter Mechanik (m/w/d),13607-9922f6bce22842f-S,aba Logistics GmbH,2026-03-01,2026-03-01T09:44:38.143,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,6wpEa2QwXOFV1zyfM5Cdkc8VNfIqhT2AKCgCSpUjX4I=
CNC-Fräser/in,CNC-Fräser (m/w/d),13607-38e28499bbec4d5-S,aba Logistics GmbH,2026-03-01,2026-03-01T09:44:38.078,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,6wpEa2QwXOFV1zyfM5Cdkc8VNfIqhT2AKCgCSpUjX4I=
Speditionskaufmann/-frau,Speditionskaufmann Seefracht (m/w/d),13607-8dc74be9c916441-S,aba Logistics GmbH,2026-03-01,2026-03-01T09:44:37.885,2026-03-01,,,Norderstedt,null,Schleswig-Holstein,Deutschland,53.702327333,10.000944087,6wpEa2QwXOFV1zyfM5Cdkc8VNfIqhT2AKCgCSpUjX4I=
Industriemechaniker/in,Industriemechaniker (m/w/d),13607-d367c3e2cf6b41b-S,aba Logistics GmbH,2026-03-01,2026-03-01T09:44:36.195,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,6wpEa2QwXOFV1zyfM5Cdkc8VNfIqhT2AKCgCSpUjX4I=
Facharzt/-ärztin - Orthopädie und Unfallchirurgie,Chefarzt (m/w/d) Orthopädie ,18873-8OFSS4I134GPVMTT-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:34:03.473,2026-03-01,,23730,Neustadt in Holstein,null,Schleswig-Holstein,Deutschland,54.103854917,10.837972301,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Innere Medizin und Nephrologie,Oberarzt (m/w/d) Nephrologie,18873-N3K1USO4TVCPLNPF-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:34:03.147,2026-03-01,,23730,Neustadt in Holstein,null,Schleswig-Holstein,Deutschland,54.103854917,10.837972301,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Radiologie,Oberarzt/ Facharzt (m/w/d) Radiologie zur Weiterbildung im Schwerpunkt Neuroradiologie ,18873-FYTXQ28SP78IYO4L-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:34:02.115,2026-03-01,,23730,Neustadt in Holstein,null,Schleswig-Holstein,Deutschland,54.103854917,10.837972301,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Psychiatrie und Psychotherapie,Oberarzt (w/m/d) für die Allgemeinpsychiatrie der Fachklinik für Psychiatrie und Psychotherapie,18873-CE9Q41HSLUO1PJNF-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:32:18.183,2026-03-01,,25821,Breklum,null,Schleswig-Holstein,Deutschland,54.601427920001,8.985761551,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Psychiatrie und Psychotherapie,Oberarzt (w/m/d) für die Tageskliniken  der Fachklinik für Psychiatrie und Psychotherapie,18873-SD6OW9PRS9X3CTWI-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:32:17.993,2026-03-01,,24937,Flensburg,null,Schleswig-Holstein,Deutschland,54.786886154001,9.432385301,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Innere Medizin und Gastroenterologie,Facharzt (m/w/d) Gastroenterologie,18873-35LFOOQ7OZFHJU51-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:30:33.688,2026-03-01,,23730,Neustadt in Holstein,null,Schleswig-Holstein,Deutschland,54.103854917,10.837972301,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Innere Medizin und Nephrologie,Oberarzt (m/w/d) Nephrologie ,18873-8TZL9H2E6JEA2UW0-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:30:33.604,2026-03-01,,23730,Neustadt in Holstein,null,Schleswig-Holstein,Deutschland,54.103854917,10.837972301,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
Facharzt/-ärztin - Innere Medizin und Gastroenterologie,Facharzt (m/w/d) für Innere Medizin Schwerpunkt Gastroenterologie,18873-KOJ4XINTN54HWUY4-S,EMA - Vermittlung GmbH,2026-03-01,2026-03-01T09:30:33.361,2026-03-01,,24321,"Lütjenburg, Holstein",null,Schleswig-Holstein,Deutschland,54.296640728001,10.585693751,YZ7VeRZSVVIQP5mygg-G6xJfpT1bCt2KY6uFhBffJJ0=
